userID,text,created_at,favorite_count,followers_account,friends_count,location
13274,"RT @AlexUnmuted: HOMBRÉS??? 

#Debate https://t.co/wv26E7pj9p",10/19/2016 21:25:59 EDT,181,212,372,"Durham, North Carolina"
4051,"A2: next priorities are the same for all Ss: rigorous curriculum, learning engagement thru personal connection  #principallife",10/19/2016 21:26:09 EDT,441,165,170,"Orange County, CA"
17179,"Trump just said, ""very much better"" 😷 #PresidentialDebate",10/19/2016 21:26:20 EDT,497,144,268,"Atlanta, GA"
1721,"Oh yes, he did. SMH. Appalling. https://t.co/sA2yipXLlF",10/19/2016 21:26:20 EDT,16971,5248,4812,Pennsylvania
5405,Shout out to principal who gave me free reign to design tech in our school and had faith in my being able to do it . #WELSEd,10/19/2016 21:26:39 EDT,5,441,357,Wisconsin
21353,What a horrible decision to run and a horrible throw,10/19/2016 21:26:42 EDT,9621,1173,341,"Flower Mound, TX"
7847,Trump sneered when Hillary mentioned #LGBT rights #debatenight,10/19/2016 21:27:00 EDT,4062,329,596,"St. Cloud, MN"
5405,Admins who believe in the power of tech in learning are so key to anyone else moving forward. #WELSEd,10/19/2016 21:27:27 EDT,5,441,357,Wisconsin
10793,RT @MLBGIFs: BELIEVELAND. https://t.co/IqcHI3WQ3j,10/19/2016 21:27:31 EDT,4385,890,1776,"Denver, CO"
2472,Bugle #debate,10/19/2016 21:27:33 EDT,1103,542,1627,San Francisco Bay Area
12670,@HillaryClinton is #slaying this. How can anybody believe anything @realDonaldTrump says!? #debatenight #debate,10/19/2016 21:27:38 EDT,768,373,745,"Drexel Hill, PA"
10082,Aye we Finna be lit homecoming🤘🏾 https://t.co/G09kX5PCf5,10/19/2016 21:27:56 EDT,2861,1127,698,"Broward County, Florida "
10793,RT @JonHeyman: andrew miller is the greatest pitcher of alltime. only cy young was close.,10/19/2016 21:28:10 EDT,4385,890,1776,"Denver, CO"
5405,Opps. Time's up for me - Sound Booth meeting at 8:30...Bye all #WELSEd,10/19/2016 21:28:24 EDT,5,441,357,Wisconsin
10793,RT @MLBNetwork: The @Indians are going to the #WorldSeries! #MLBTonight is on now with complete coverage! #postseason https://t.co/ypjkw40I…,10/19/2016 21:28:28 EDT,4385,890,1776,"Denver, CO"
19687,RT @Calum5SOS: My uber driver called me 'Big Dawg' today. Guess who got 5 stars?,10/19/2016 21:28:35 EDT,717,211,823,"Louisiana, USA"
13274,Moderator got @realDonaldTrump in check! *You talk when I tell you to talk!* #debatenight,10/19/2016 21:29:02 EDT,182,212,372,"Durham, North Carolina"
7847,"""We need a Supreme Court that will uphold the Second Amendment""...don't they already do that? #debatenight",10/19/2016 21:29:11 EDT,4063,329,596,"St. Cloud, MN"
15024,"RT @girlposts: AHS is on tonight and so is the presidential debate, so basically there are two different American Horror Stories on tonight",10/19/2016 21:29:17 EDT,3746,501,497,"New Albany, MS"
11080,when did bigly become a word...,10/19/2016 21:29:22 EDT,696,205,249,
22829,RT @USAforTrump2016: YES!!! Lets talk @wikileaks #debatenight,10/19/2016 21:29:34 EDT,44314,1674,1435,Michigan
